check,status,detail
codebook_has_five_unique_dimensions,PASS,"5 rows; codes=['A', 'D', 'G', 'N', 'O']"
codebook_A_has_unclear,PASS,available | removed | restricted | unclear
codebook_A_has_evidence_rule,PASS,Explicit methods/procedure statement or directly described assessment environment.
codebook_D_has_unclear,PASS,concurrent | immediate | exact elapsed time | unclear
codebook_D_has_evidence_rule,PASS,"Timeline, procedure, or dated session description."
codebook_O_has_unclear,PASS,same | repeated | similar | novel | unclear
codebook_O_has_evidence_rule,PASS,Item/task descriptions or explicit statement of repeated/isomorphic/new material.
codebook_G_has_unclear,PASS,none | near | far | domain/context shift | unclear
codebook_G_has_evidence_rule,PASS,Task-domain relation and response requirements.
codebook_N_has_unclear,PASS,prevented | monitored | verified | self-report | unclear
codebook_N_has_evidence_rule,PASS,"Proctoring, device restriction, logging, monitoring, explicit self-report, or equivalent evidence."
executable_E01,PASS,"expected={'A': 'available', 'D': 'concurrent', 'O': 'same', 'G': 'none', 'N': 'unclear'}; got={'A': 'available', 'D': 'concurrent', 'O': 'same', 'G': 'none', 'N': 'unclear'}"
executable_E02,PASS,"expected={'A': 'removed', 'D': '1 hour', 'O': 'repeated', 'G': 'none', 'N': 'prevented'}; got={'A': 'removed', 'D': '1 hour', 'O': 'repeated', 'G': 'none', 'N': 'prevented'}"
executable_E03,PASS,"expected={'A': 'removed', 'D': 'immediate', 'O': 'similar', 'G': 'near', 'N': 'monitored'}; got={'A': 'removed', 'D': 'immediate', 'O': 'similar', 'G': 'near', 'N': 'monitored'}"
executable_E04,PASS,"expected={'A': 'removed', 'D': '14 days', 'O': 'novel', 'G': 'domain/context shift', 'N': 'verified'}; got={'A': 'removed', 'D': '14 days', 'O': 'novel', 'G': 'domain/context shift', 'N': 'verified'}"
executable_E05,PASS,"expected={'A': 'unclear', 'D': 'unclear', 'O': 'unclear', 'G': 'unclear', 'N': 'unclear'}; got={'A': 'unclear', 'D': 'unclear', 'O': 'unclear', 'G': 'unclear', 'N': 'unclear'}"
executable_E06,PASS,"expected={'A': 'restricted', 'D': 'immediate', 'O': 'similar', 'G': 'near', 'N': 'verified'}; got={'A': 'restricted', 'D': 'immediate', 'O': 'similar', 'G': 'near', 'N': 'verified'}"
executable_E07,PASS,"expected={'A': 'removed', 'D': 'immediate', 'O': 'novel', 'G': 'near', 'N': 'verified'}; got={'A': 'removed', 'D': 'immediate', 'O': 'novel', 'G': 'near', 'N': 'verified'}"
executable_E08,PASS,"expected={'A': 'removed', 'D': '7 days', 'O': 'repeated', 'G': 'none', 'N': 'prevented'}; got={'A': 'removed', 'D': '7 days', 'O': 'repeated', 'G': 'none', 'N': 'prevented'}"
executable_E09,PASS,"expected={'A': 'unclear', 'D': 'unclear', 'O': 'unclear', 'G': 'unclear', 'N': 'self-report'}; got={'A': 'unclear', 'D': 'unclear', 'O': 'unclear', 'G': 'unclear', 'N': 'self-report'}"
executable_E10,PASS,"expected={'A': 'restricted', 'D': 'concurrent', 'O': 'similar', 'G': 'none', 'N': 'verified'}; got={'A': 'restricted', 'D': 'concurrent', 'O': 'similar', 'G': 'none', 'N': 'verified'}"
executable_E11,PASS,"expected={'A': 'removed', 'D': '7 days', 'O': 'novel', 'G': 'near', 'N': 'self-report'}; got={'A': 'removed', 'D': '7 days', 'O': 'novel', 'G': 'near', 'N': 'self-report'}"
executable_E12,PASS,"expected={'A': 'unclear', 'D': 'unclear', 'O': 'unclear', 'G': 'unclear', 'N': 'unclear'}; got={'A': 'unclear', 'D': 'unclear', 'O': 'unclear', 'G': 'unclear', 'N': 'unclear'}"
executable_E13,PASS,"expected={'A': 'removed', 'D': '30 days', 'O': 'novel', 'G': 'far', 'N': 'verified'}; got={'A': 'removed', 'D': '30 days', 'O': 'novel', 'G': 'far', 'N': 'verified'}"
