synthesis,doi,reported_scope,dimension,dimension_name,verdict,audit_basis,reported_coding_or_moderator_fields,evidence_location,inference_boundary
Deng et al. 2025,10.1016/j.compedu.2024.105224,69 articles,A,AI availability,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,academic performance; affective-motivational states; higher-order thinking; mental effort; self-efficacy; methodological characteristics,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Deng et al. 2025,10.1016/j.compedu.2024.105224,69 articles,D,Delay,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,academic performance; affective-motivational states; higher-order thinking; mental effort; self-efficacy; methodological characteristics,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Deng et al. 2025,10.1016/j.compedu.2024.105224,69 articles,O,Task/item overlap,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,academic performance; affective-motivational states; higher-order thinking; mental effort; self-efficacy; methodological characteristics,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Deng et al. 2025,10.1016/j.compedu.2024.105224,69 articles,G,Generalization/transfer demand,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,academic performance; affective-motivational states; higher-order thinking; mental effort; self-efficacy; methodological characteristics,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Deng et al. 2025,10.1016/j.compedu.2024.105224,69 articles,N,AI non-use evidence/scope,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,academic performance; affective-motivational states; higher-order thinking; mental effort; self-efficacy; methodological characteristics,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Ma & Zhong 2025,10.1111/jcal.70117,34 experimental/quasi-experimental studies,A,AI availability,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,subject discipline; instructional duration; knowledge type; prior knowledge; tool type,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Ma & Zhong 2025,10.1111/jcal.70117,34 experimental/quasi-experimental studies,D,Delay,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,subject discipline; instructional duration; knowledge type; prior knowledge; tool type,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Ma & Zhong 2025,10.1111/jcal.70117,34 experimental/quasi-experimental studies,O,Task/item overlap,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,subject discipline; instructional duration; knowledge type; prior knowledge; tool type,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Ma & Zhong 2025,10.1111/jcal.70117,34 experimental/quasi-experimental studies,G,Generalization/transfer demand,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,subject discipline; instructional duration; knowledge type; prior knowledge; tool type,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Ma & Zhong 2025,10.1111/jcal.70117,34 experimental/quasi-experimental studies,N,AI non-use evidence/scope,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,subject discipline; instructional duration; knowledge type; prior knowledge; tool type,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Han et al. 2025,10.1016/j.edurev.2025.100714,68 studies / 337 effects,A,AI availability,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,learning dimensions; educational level; subject; duration; sample size,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Han et al. 2025,10.1016/j.edurev.2025.100714,68 studies / 337 effects,D,Delay,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,learning dimensions; educational level; subject; duration; sample size,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Han et al. 2025,10.1016/j.edurev.2025.100714,68 studies / 337 effects,O,Task/item overlap,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,learning dimensions; educational level; subject; duration; sample size,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Han et al. 2025,10.1016/j.edurev.2025.100714,68 studies / 337 effects,G,Generalization/transfer demand,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,learning dimensions; educational level; subject; duration; sample size,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
Han et al. 2025,10.1016/j.edurev.2025.100714,68 studies / 337 effects,N,AI non-use evidence/scope,no dedicated reported field identified,published methods/coding/moderator description inspected; no dedicated field identified,learning dimensions; educational level; subject; duration; sample size,published methods/coding/moderator description inspected; exact page not archived in the frozen package,"Reported-schema readiness only; does not imply absence of unpublished coding, omission from primary reports, or invalid pooled estimates."
