outcome_id,study,doi,outcome,assessment_stage,ai_availability_at_assessment,assessment_delay,task_item_overlap,transfer_demand,evidence_scope_ai_nonuse,defensible_score_interpretation,coding_source,coding_depth,coding_status,derived_effect_std,derived_ci_low,derived_ci_high,notes,evidence_map_scope,source_url,verification_note
O001,Bastani et al. (2025),10.1073/pnas.2422633122,supported practice performance – standard GenAI,assisted,available,concurrent,practice task,none; same assisted task,not applicable,joint human–AI performance,article + public data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,0.48,,,paired profile,primary-source-verified coding subset,https://doi.org/10.1073/pnas.2422633122,
O002,Bastani et al. (2025),10.1073/pnas.2422633122,supported practice performance – guarded tutor,assisted,available,concurrent,practice task,none; same assisted task,not applicable,joint human–AI performance,article + public data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,1.25,,,paired profile,primary-source-verified coding subset,https://doi.org/10.1073/pnas.2422633122,
O003,Bastani et al. (2025),10.1073/pnas.2422633122,independent exam – standard GenAI assignment,post-assistance,removed,later assessment,different scored exam,near/construct transfer; exact distance study-specific,AI unavailable in scored exam,independent human exam performance,article + public data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,-0.2,,,small-cluster inference reported separately,primary-source-verified coding subset,https://doi.org/10.1073/pnas.2422633122,
O004,Bastani et al. (2025),10.1073/pnas.2422633122,independent exam – guarded tutor assignment,post-assistance,removed,later assessment,different scored exam,near/construct transfer; exact distance study-specific,AI unavailable in scored exam,independent human exam performance,article + public data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,-0.02,,,small-cluster inference reported separately,primary-source-verified coding subset,https://doi.org/10.1073/pnas.2422633122,
O005,Bassner et al. (2026),10.1016/j.caeai.2025.100537,programming exercise performance – ChatGPT,assisted,available,concurrent,same exercise,none; assisted task,not applicable,joint human–AI programming performance,article + public data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,1.16,,,paired profile,primary-source-verified coding subset,https://doi.org/10.1016/j.caeai.2025.100537,
O006,Bassner et al. (2026),10.1016/j.caeai.2025.100537,programming exercise performance – Iris,assisted,available,concurrent,same exercise,none; assisted task,not applicable,joint human–AI programming performance,article + public data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,0.76,,,paired profile,primary-source-verified coding subset,https://doi.org/10.1016/j.caeai.2025.100537,
O007,Bassner et al. (2026),10.1016/j.caeai.2025.100537,post knowledge – ChatGPT assignment,post-assistance,removed,post-intervention,different test,knowledge transfer/generalization,construct-relevant AI unavailable,independent post-assistance knowledge performance,article + public data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,0.04,,,paired profile,primary-source-verified coding subset,https://doi.org/10.1016/j.caeai.2025.100537,
O008,Bassner et al. (2026),10.1016/j.caeai.2025.100537,post knowledge – Iris assignment,post-assistance,removed,post-intervention,different test,knowledge transfer/generalization,construct-relevant AI unavailable,independent post-assistance knowledge performance,article + public data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,-0.04,,,paired profile,primary-source-verified coding subset,https://doi.org/10.1016/j.caeai.2025.100537,
O009,Bassner et al. (2026),10.1016/j.caeai.2025.100537,post code comprehension,post-assistance,removed,post-intervention,different test,code-comprehension transfer,construct-relevant AI unavailable,independent code-comprehension performance,article + public data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,sensitivity outcome,primary-source-verified coding subset,https://doi.org/10.1016/j.caeai.2025.100537,
O010,Wong & Qiu (2026),10.1007/s10648-026-10118-7,originality Task 1 – unrestricted ChatGPT,assisted,available,concurrent,Task 1,none; assisted task,not applicable,joint human–AI creativity performance,article + OSF participant data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,0.74,0.4,1.17,paired profile,primary-source-verified coding subset,https://doi.org/10.1007/s10648-026-10118-7,
O011,Wong & Qiu (2026),10.1007/s10648-026-10118-7,originality Task 1 – learner-first,assisted,available after learner-first phase,concurrent,Task 1,none; assisted task,not applicable,structured human–AI creativity performance,article + OSF participant data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,0.17,-0.15,0.55,paired profile,primary-source-verified coding subset,https://doi.org/10.1007/s10648-026-10118-7,
O012,Wong & Qiu (2026),10.1007/s10648-026-10118-7,originality Task 2 – unrestricted assignment,post-assistance,removed,immediate subsequent task,novel different task,creative transfer,AI unavailable in Task 2,independent creative-transfer performance,article + OSF participant data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,0.04,-0.28,0.42,paired profile,primary-source-verified coding subset,https://doi.org/10.1007/s10648-026-10118-7,
O013,Wong & Qiu (2026),10.1007/s10648-026-10118-7,originality Task 2 – learner-first assignment,post-assistance,removed,immediate subsequent task,novel different task,creative transfer,AI unavailable in Task 2,independent creative-transfer performance,article + OSF participant data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,0.55,0.18,1.03,paired profile,primary-source-verified coding subset,https://doi.org/10.1007/s10648-026-10118-7,
O014,Wong & Qiu (2026),10.1007/s10648-026-10118-7,usefulness Task 1/Task 2 profile,paired sensitivity,mixed by task,immediate transition,different tasks,creative transfer,AI unavailable in Task 2,sensitivity replication of rank reversal,article + OSF participant data,primary-report/participant-data verified,author coding; no claim of human inter-rater validation,,,,"direct interaction standardized 0.99, cluster-robust CI 0.58–1.40",primary-source-verified coding subset,https://doi.org/10.1007/s10648-026-10118-7,
