map_id,identification_layer,source_inventory_label,title,year,journal,doi,design,domain,published_only_included,comparative_map_status,bibliographic_resolution,eligibility_note,source_synthesis,source_synthesis_effect_records,deep_participant_analysis,participant_data_status,duplicate_doi_group
U01,2024-2026 published update/cross-check,Bastani et al. (2025),Generative AI without guardrails can harm learning: Evidence from high school mathematics,2025,Proceedings of the National Academy of Sciences,10.1073/pnas.2422633122,randomized field experiment,mathematics,yes,included,resolved,,contemporary synthesis cross-check and focal-study update through 2026-08-17,,yes,public participant-level,
U02,2024-2026 published update/cross-check,Kestin et al. (2025),AI tutoring outperforms in-class active learning: an RCT introducing a novel research-based design in an authentic educational setting,2025,Scientific Reports,10.1038/s41598-025-97652-6,randomized crossover experiment,physics,yes,included,resolved,,contemporary synthesis cross-check and focal-study update through 2026-08-17,,yes,public reduced participant-level,
U03,2024-2026 published update/cross-check,Pardos & Bhandari (2024),ChatGPT-generated help produces learning gains equivalent to human tutor-authored help on mathematics skills,2024,PLOS ONE,10.1371/journal.pone.0304013,randomized experiment,mathematics,yes,included,resolved,,contemporary synthesis cross-check and focal-study update through 2026-08-17,,yes,public participant-level,
U04,2024-2026 published update/cross-check,Bassner et al. (2026),"Less stress, better scores, same learning: The dissociation of performance and learning in AI-supported programming education",2026,Computers and Education: Artificial Intelligence,10.1016/j.caeai.2025.100537,randomized experiment,programming,yes,included,resolved,,contemporary synthesis cross-check and focal-study update through 2026-08-17,,yes,public participant-level,
U05,2024-2026 published update/cross-check,Çiçek et al. (2025),,2025,Postgraduate Medical Journal,10.1093/postmj/qgae170,randomized feedback experiment,clinical reasoning,yes,included,resolved,,contemporary synthesis cross-check and focal-study update through 2026-08-17,,yes,public participant-level,
U06,2024-2026 published update/cross-check,Wong & Qiu (2026),"Think First, ChatGPT Later: Guiding Human–AI Collaboration for Learning Gains in Independent Human Creativity",2026,Educational Psychology Review,10.1007/s10648-026-10118-7,randomized experiment,creativity,yes,included,resolved,,contemporary synthesis cross-check and focal-study update through 2026-08-17,,yes,public participant-level,
U07,2024-2026 published update/cross-check,Zhou et al. (2026),Creative scar without generative AI: Individual creativity fails to sustain while homogeneity keeps climbing,2026,Technology in Society,10.1016/j.techsoc.2025.103087,randomized longitudinal experiment,creativity,yes,included,resolved,,contemporary synthesis cross-check and focal-study update through 2026-08-17,,yes,author-approved restricted participant-level,
U08,2024-2026 published update/cross-check,Darmawansah et al. (2025),ChatGPT-supported collaborative argumentation: Integrating collaboration script and argument mapping to enhance EFL students’ argumentation skills,2025,Education and Information Technologies,10.1007/s10639-024-12986-4,experimental study,EFL argumentation,yes,included,resolved,,contemporary synthesis cross-check and focal-study update through 2026-08-17,,no,not required for map,
U09,2024-2026 published update/cross-check,Zhou R. et al. (2025),Exploring ChatGPT-facilitated scaffolding in undergraduates’ mathematical problem solving,2025,Journal of Computer Assisted Learning,10.1111/jcal.70077,single-group mixed-method study,mathematics,no,contextual_noncomparative,resolved_noncomparative,"Published and relevant, but no randomized/quasi-experimental comparator; retained only as contextual evidence.",contemporary synthesis cross-check and focal-study update through 2026-08-17,,no,not required for map,
U10,2024-2026 published update/cross-check,Arkan et al. (2025),"The impact of ChatGPT training in the nursing process on nursing students’ problem-solving skills, attitudes towards artificial intelligence, competency, and satisfaction levels: single-blind randomized controlled study",2025,Nurse Education Today,10.1016/j.nedt.2025.106765,single-blind randomized controlled study,nursing,yes,included,resolved,,contemporary synthesis cross-check and focal-study update through 2026-08-17,,no,not required for map,
U11,2024-2026 published update/cross-check,Gan et al. (2024),Integrating ChatGPT in Orthopedic Education for Medical Undergraduates: Randomized Controlled Trial,2024,Journal of Medical Internet Research,10.2196/57037,randomized controlled trial,medical education,yes,included,resolved,,contemporary synthesis cross-check and focal-study update through 2026-08-17,,no,not required for map,
U12,2024-2026 published update/cross-check,Fan et al. (2025),"Beware of metacognitive laziness: Effects of generative artificial intelligence on learning motivation, processes, and performance",2025,British Journal of Educational Technology,10.1111/bjet.13544,randomized laboratory experiment,academic writing / transfer,yes,included,resolved,"Primary report verified; randomized comparison of ChatGPT, human expert, writing analytics, and no-tool support.",contemporary synthesis cross-check and focal-study update through 2026-08-17,,no,not required for map,
U13,2024-2026 published update/cross-check,Fütterer et al. (2026),Enhancing School Students’ Self-Regulated Learning through Generative AI Support: A Randomized Controlled Trial,2026,Educational Psychology Review,10.1007/s10648-026-10133-8,randomized controlled field trial,physics / English / self-regulated learning,yes,included,resolved,Primary report verified; three randomized GenAI conditions with performance-based and knowledge posttests.,contemporary synthesis cross-check and focal-study update through 2026-08-17,,no,not required for map,
