study,domain,reported_design_fact,reported_timing,published_result_relevance,doi
Urban et al. (2024),creative problem solving,ChatGPT was part of the scored creative problem-solving task; a separate AI-removal assessment was not reported.,concurrent,Illustrates assistance-contingent joint performance rather than an assistance-independent post-assistance outcome.,10.1016/j.compedu.2024.105031
Darvishi et al. (2024),peer feedback / student agency,A randomized experiment examined what happened when AI feedback assistance was removed and whether self-regulation supports could substitute for it.,multi-week intervention,"Illustrates the distinction between assistance availability, learner agency, and performance after assistance changes.",10.1016/j.compedu.2023.104967
Stadler et al. (2024),scientific inquiry,Students were randomized to use ChatGPT or Google during information gathering; the study compared mental effort and depth of scientific reasoning.,during learning task,Illustrates why cognitive-effort and reasoning-process measures complement outcome-level assistance metadata.,10.1016/j.chb.2024.108386
Fan et al. (2025),reading/writing,ChatGPT-supported learning was followed by separately reported knowledge-gain and transfer outcomes.,immediate post-task,Illustrates why supported task performance and later learning outcomes should be reported separately.,10.1111/bjet.13544
Pardos & Bhandari (2024),mathematics,Participants completed a three-item post-test after the hint phase; the post-test repeated the pre-test items.,same session,Illustrates why item novelty and transfer distance must be reported separately.,10.1371/journal.pone.0304013
Bastani et al. (2025),high-school mathematics,"AI-assisted practice was followed by a closed-book, closed-laptop exam on conceptually similar problems.",same class session,Provides separate supported and assistance-removed randomized outcomes under standard and guarded GPT architectures.,10.1073/pnas.2422633122
Kestin et al. (2025),undergraduate physics,AI-supported lessons were followed by objective post-tests completed without the tutor during the test.,same session,Illustrates immediate assistance-removed assessment under a pedagogically designed AI tutor.,10.1038/s41598-025-97652-6
Bassner et al. (2026),introductory programming,AI-supported programming exercises were followed by knowledge and code-comprehension assessment.,post-exercise,Illustrates dissociation between supported exercise performance and later knowledge/comprehension outcomes.,10.1016/j.caeai.2025.100537
Wong & Qiu (2026),creativity,AI-assisted creative work was followed by a subsequent independent creative task; one condition required thinking before ChatGPT use.,immediate subsequent task,Illustrates architecture-dependent supported-to-independent performance profiles.,10.1007/s10648-026-10118-7
Barcaui (2025),undergraduate AI concepts,A surprise assessment was administered 45 days after the study phase.,45 days,Illustrates why exact elapsed time should be reported before making a retention interpretation.,10.1016/j.ssaho.2025.102287
Sezgunsay et al. (2026),nursing/endotracheal suctioning,The knowledge questionnaire was administered again at six-week follow-up; participants were instructed to complete the digital follow-up independently.,6 weeks,Illustrates an assistance-removal condition with instruction-based rather than strongly verified independence.,10.1186/s12909-026-09483-2
Xue et al. (2026),clinical diagnostics,Theoretical knowledge was assessed at six-month follow-up; the accessible report does not explicitly establish AI non-availability during that assessment.,6 months,Illustrates why exact timing does not substitute for explicit assistance-status and independence-evidence reporting.,10.1007/s40670-026-02830-4
